carat,cut,color,clarity,depth_percentage,table,length,width,depth,price
1.1,Premium,H,SI2,62.2,58.0,6.69,6.6,4.13,4620
1.51,Very Good,J,SI2,63.2,58.0,7.28,7.25,4.59,6171
0.72,Ideal,D,VS2,61.8,56.0,5.74,5.78,3.56,4082
1.04,Premium,E,SI2,61.6,59.0,6.55,6.57,4.04,4164
0.8,Premium,G,SI1,63.0,59.0,5.9,5.81,3.69,2760
0.3,Premium,D,VS1,60.7,58.0,4.36,4.34,2.64,848
1.52,Premium,E,SI1,62.4,59.0,7.34,7.37,4.59,10767
1.51,Premium,D,SI1,61.1,60.0,7.37,7.32,4.49,12261
1.06,Ideal,G,VS1,61.4,56.0,6.55,6.58,4.03,7589
1.06,Ideal,I,SI1,62.8,56.0,6.52,6.47,4.08,4333
1.01,Premium,H,VS1,62.7,58.0,6.37,6.39,4.0,5199
1.01,Premium,G,SI2,62.4,58.0,6.41,6.38,3.99,4442
0.41,Ideal,E,SI2,59.8,55.0,4.81,4.93,2.91,683
0.93,Good,H,VS1,59.1,64.0,6.36,6.27,3.73,3500
1.2,Fair,G,I1,66.6,57.0,6.57,6.5,4.34,2376
1.7,Ideal,H,VS2,62.2,57.0,7.67,7.63,4.76,13756
0.8,Ideal,G,SI2,62.2,57.0,5.93,5.96,3.7,2657
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,13907
1.54,Premium,F,SI2,62.8,57.0,7.36,7.28,4.6,7494
1.0,Premium,D,SI2,62.0,60.0,6.38,6.3,3.93,3634
0.24,Ideal,F,VVS2,62.6,57.0,3.93,3.96,2.47,552
0.34,Ideal,E,VS2,62.6,57.0,4.45,4.47,2.79,745
0.3,Good,H,VVS2,63.6,55.0,4.24,4.28,2.71,605
0.5,Very Good,E,VVS2,59.1,61.0,5.19,5.23,3.08,2106
0.91,Good,F,SI1,63.9,55.0,6.1,6.17,3.92,4279
1.24,Ideal,G,VS1,60.1,58.0,7.03,6.97,4.21,9123
1.07,Ideal,G,VVS2,61.8,55.0,6.57,6.61,4.07,8491
1.06,Premium,F,SI2,62.4,58.0,6.5,6.54,4.07,4372
1.56,Good,I,VS2,57.2,62.0,7.72,7.66,4.4,9784
1.08,Very Good,G,VS2,62.0,57.0,6.52,6.55,4.05,6168
1.5,Premium,G,SI1,62.6,55.0,7.31,7.27,4.56,9265
0.82,Premium,I,SI1,62.6,57.0,5.98,5.94,3.73,2405
1.07,Ideal,G,VS2,62.2,57.0,6.55,6.5,4.06,6040
0.3,Very Good,H,SI1,60.9,59.0,4.29,4.31,2.62,432
1.08,Good,D,SI1,63.8,59.0,6.39,6.47,4.1,5821
0.7,Very Good,G,VS2,59.0,60.0,5.76,5.83,3.42,2437
0.33,Ideal,E,VVS1,61.5,57.0,4.44,4.47,2.74,984
2.01,Premium,H,SI2,62.3,60.0,7.97,7.95,4.96,14558
2.12,Very Good,J,SI2,62.3,61.0,8.16,8.21,5.1,12030
2.03,Very Good,E,SI2,63.1,56.0,8.01,7.99,5.05,14646
0.32,Very Good,D,SI1,63.0,58.0,4.36,4.4,2.76,589
1.53,Premium,J,VVS1,61.6,58.0,7.4,7.37,4.55,9322
1.7,Premium,I,VS2,62.0,59.0,7.6,7.55,4.7,10929
1.2,Premium,G,VS1,58.4,61.0,6.95,6.91,4.05,8177
0.46,Ideal,G,SI2,62.2,53.0,4.95,4.98,3.09,864
0.74,Ideal,G,SI2,61.7,56.0,5.8,5.87,3.6,2690
0.71,Ideal,I,VS1,62.1,56.0,5.68,5.72,3.54,2306
0.43,Ideal,G,VVS1,62.0,55.0,4.82,4.85,3.0,1207
0.59,Ideal,E,SI1,62.0,55.0,5.37,5.4,3.34,1664
0.31,Very Good,I,VVS1,62.2,60.0,4.3,4.32,2.68,571
0.32,Very Good,H,VS1,62.8,58.0,4.35,4.37,2.74,561
0.32,Premium,H,VVS2,62.3,58.0,4.37,4.33,2.71,828
0.34,Ideal,F,VS1,61.1,57.0,4.51,4.55,2.77,692
1.2,Very Good,J,VS2,62.6,57.0,6.72,6.8,4.23,4963
1.03,Ideal,H,SI1,62.0,56.0,6.44,6.49,4.01,5093
0.35,Ideal,F,VVS1,61.8,54.0,4.53,4.56,2.81,945
0.71,Premium,G,VS1,62.4,61.0,5.7,5.65,3.54,2803
1.01,Fair,F,VS2,61.1,60.0,6.49,6.4,3.94,6271
0.35,Ideal,F,VS2,62.4,55.0,4.53,4.51,2.82,906
0.4,Ideal,H,VVS1,62.3,54.0,4.74,4.77,2.96,1017
1.02,Premium,J,SI1,63.0,58.0,6.44,6.39,4.04,3856
0.78,Premium,H,SI1,60.0,60.0,5.93,5.92,3.62,2489
0.31,Premium,F,VS2,59.0,59.0,4.47,4.44,2.63,802
0.4,Very Good,E,SI1,62.2,62.0,4.66,4.69,2.91,687
1.1,Premium,H,SI1,63.0,58.0,6.6,6.55,4.14,4916
1.0,Premium,H,I1,61.3,60.0,6.39,6.43,3.93,2695
0.52,Premium,D,SI1,59.7,60.0,5.26,5.19,3.12,1399
0.73,Premium,E,VS1,62.6,60.0,5.75,5.68,3.58,2826
0.91,Ideal,F,SI2,62.4,57.0,6.18,6.22,3.87,3812
0.7,Good,G,SI1,64.0,55.0,5.59,5.62,3.59,1915
0.27,Ideal,H,SI1,61.3,55.0,4.17,4.21,2.57,383
0.9,Fair,J,VS2,65.0,56.0,6.08,6.04,3.94,2815
0.32,Ideal,D,VS2,62.0,55.0,4.37,4.41,2.72,758
0.56,Ideal,F,SI1,61.4,57.0,5.3,5.28,3.25,1441
1.0,Ideal,G,VS2,62.3,56.0,6.38,6.36,3.97,5824
1.51,Ideal,I,VS1,63.2,57.0,7.4,7.28,4.62,10655
0.32,Very Good,G,VS2,62.0,59.0,4.37,4.41,2.72,561
1.5,Ideal,H,VS2,62.8,57.0,7.3,7.25,4.57,11159
1.03,Very Good,H,SI2,61.3,56.0,6.5,6.53,3.99,4745
0.3,Ideal,G,VVS2,60.9,57.0,4.32,4.35,2.64,684
0.3,Ideal,E,VS2,62.6,54.0,4.31,4.28,2.69,844
1.2,Ideal,H,SI1,62.0,58.0,6.78,6.83,4.22,6450
0.31,Ideal,E,VS2,61.3,56.0,4.37,4.34,2.67,872
1.01,Premium,G,VS1,62.7,58.0,6.41,6.38,4.01,6618
0.34,Ideal,D,VS1,60.7,57.0,4.51,4.55,2.75,749
0.52,Ideal,G,VVS2,60.8,57.0,5.21,5.16,3.15,2012
0.55,Premium,E,SI2,61.9,58.0,5.24,5.2,3.23,1273
0.42,Ideal,I,SI1,61.6,55.0,4.83,4.85,2.98,690
0.8,Ideal,I,VS1,61.9,54.1,5.92,5.98,3.69,2986
